Parameter;Date;Unit;Value
Conductivity_20C;31/01/2006;µS/cm;4980
Nitrate;31/01/2006;mg/L;15
Phosphate;31/01/2006;mg/L;0
Conductivity_20C;18/04/2006;µS/cm;3950
Nitrate;18/04/2006;mg/L;15
Phosphate;18/04/2006;mg/L;2
Conductivity_20C;31/01/2007;µS/cm;9310
Conductivity_20C;05/06/2007;µS/cm;13160
Conductivity_20C;19/07/2007;µS/cm;12150
Nitrate;19/07/2007;mg/L;82
Phosphate;19/07/2007;mg/L;8.62
Conductivity_20C;13/11/2007;µS/cm;11360
Conductivity_20C;19/02/2008;µS/cm;9260
Nitrate;19/02/2008;mg/L;80
Phosphate;19/02/2008;mg/L;3.45
Conductivity_20C;11/03/2008;µS/cm;11460
Conductivity_20C;26/11/2008;µS/cm;12890
Conductivity_20C;23/03/2009;µS/cm;13350
Conductivity_20C;25/03/2009;µS/cm;11450
Nitrate;25/03/2009;mg/L;221
Phosphate;25/03/2009;mg/L;0.51
Conductivity_20C;22/07/2009;µS/cm;10060
Conductivity_20C;12/08/2009;µS/cm;7700
Conductivity_20C;23/09/2009;µS/cm;7890
Nitrate;23/09/2009;mg/L;99
Phosphate;23/09/2009;mg/L;2.52
Conductivity_20C;08/10/2009;µS/cm;8270
Conductivity_20C;02/11/2009;µS/cm;11540
Nitrate;02/11/2009;mg/L;219
Phosphate;02/11/2009;mg/L;0.18
Conductivity_20C;18/11/2009;µS/cm;10500
Conductivity_20C;01/12/2009;µS/cm;9710
Conductivity_20C;12/04/2010;µS/cm;12660
Nitrate;12/04/2010;mg/L;236
Phosphate;12/04/2010;mg/L;0.15
Conductivity_20C;12/04/2010;µS/cm;10340
Nitrate;12/04/2010;mg/L;224
Phosphate;12/04/2010;mg/L;0.2
Conductivity_20C;26/05/2010;µS/cm;11240
Nitrate;26/05/2010;mg/L;181
Phosphate;26/05/2010;mg/L;0.6
Conductivity_20C;28/02/2011;µS/cm;9450
Nitrate;28/02/2011;mg/L;192
Phosphate;28/02/2011;mg/L;0.71
Conductivity_20C;08/06/2011;µS/cm;8710
Nitrate;08/06/2011;mg/L;136
Phosphate;08/06/2011;mg/L;0.21
Conductivity_20C;16/01/2012;µS/cm;9290
Nitrate;16/01/2012;mg/L;160
Phosphate;16/01/2012;mg/L;0.63
Conductivity_20C;14/02/2012;µS/cm;9350
Nitrate;14/02/2012;mg/L;87
Phosphate;14/02/2012;mg/L;0.67
Conductivity_20C;14/03/2012;µS/cm;11700
Nitrate;14/03/2012;mg/L;246
Phosphate;14/03/2012;mg/L;0.2
Conductivity_20C;12/04/2012;µS/cm;11400
Nitrate;12/04/2012;mg/L;190
Phosphate;12/04/2012;mg/L;0.34
Conductivity_20C;10/05/2012;µS/cm;11900
Nitrate;10/05/2012;mg/L;189
Phosphate;10/05/2012;mg/L;0.05
Conductivity_20C;06/06/2012;µS/cm;11220
Nitrate;06/06/2012;mg/L;155
Phosphate;06/06/2012;mg/L;0.74
Conductivity_20C;06/06/2012;µS/cm;11200
Nitrate;06/06/2012;mg/L;143
Phosphate;06/06/2012;mg/L;0.55
Conductivity_20C;03/07/2012;µS/cm;13409
Nitrate;03/07/2012;mg/L;147
Phosphate;03/07/2012;mg/L;0
Conductivity_20C;04/07/2012;µS/cm;12100
Nitrate;04/07/2012;mg/L;155
Phosphate;04/07/2012;mg/L;0.09
Conductivity_20C;06/08/2012;µS/cm;9750
Nitrate;06/08/2012;mg/L;120
Phosphate;06/08/2012;mg/L;1.53
Conductivity_20C;12/09/2012;µS/cm;11000
Nitrate;12/09/2012;mg/L;138
Phosphate;12/09/2012;mg/L;0
Conductivity_20C;17/10/2012;µS/cm;12300
Nitrate;17/10/2012;mg/L;233
Phosphate;17/10/2012;mg/L;0
Nitrate;12/11/2012;mg/L;72.8
Phosphate;12/11/2012;mg/L;1.32
Conductivity_20C;12/11/2012;µS/cm;6280
Nitrate;12/11/2012;mg/L;79.6
Phosphate;12/11/2012;mg/L;0.96
Conductivity_20C;19/12/2012;µS/cm;11200
Nitrate;19/12/2012;mg/L;272
Phosphate;19/12/2012;mg/L;0.29
Conductivity_20C;12/07/2013;µS/cm;17510
Nitrate;12/07/2013;mg/L;262
Phosphate;12/07/2013;mg/L;0.4
Conductivity_20C;24/07/2013;µS/cm;11250
Nitrate;24/07/2013;mg/L;139
Phosphate;24/07/2013;mg/L;0.06
Conductivity_20C;25/07/2013;µS/cm;8320
Nitrate;25/07/2013;mg/L;106
Phosphate;25/07/2013;mg/L;0.31
Conductivity_20C;21/08/2013;µS/cm;9250
Nitrate;21/08/2013;mg/L;23
Phosphate;21/08/2013;mg/L;0.69
Conductivity_20C;18/09/2013;µS/cm;12900
Nitrate;18/09/2013;mg/L;202
Phosphate;18/09/2013;mg/L;0.32
Conductivity_20C;31/10/2013;µS/cm;11700
Nitrate;31/10/2013;mg/L;188
Phosphate;31/10/2013;mg/L;0.16
Conductivity_20C;25/11/2013;µS/cm;13500
Nitrate;25/11/2013;mg/L;249
Phosphate;25/11/2013;mg/L;0.21
Conductivity_20C;15/01/2014;µS/cm;9140
Nitrate;15/01/2014;mg/L;181
Phosphate;15/01/2014;mg/L;0.8
Conductivity_20C;12/03/2014;µS/cm;11700
Nitrate;12/03/2014;mg/L;60.8
Phosphate;12/03/2014;mg/L;1
Conductivity_20C;13/05/2014;µS/cm;13300
Nitrate;13/05/2014;mg/L;241
Phosphate;13/05/2014;mg/L;0
Conductivity_20C;14/07/2014;µS/cm;14930
Nitrate;14/07/2014;mg/L;210
Phosphate;14/07/2014;mg/L;0.07
Conductivity_20C;29/09/2014;µS/cm;9470
Nitrate;29/09/2014;mg/L;121.41
Phosphate;29/09/2014;mg/L;0
Conductivity_20C;25/11/2014;µS/cm;17980
Nitrate;25/11/2014;mg/L;248.3
Phosphate;25/11/2014;mg/L;0
Conductivity_20C;28/01/2015;µS/cm;16520
Nitrate;28/01/2015;mg/L;257.86
Phosphate;28/01/2015;mg/L;0
Conductivity_20C;25/03/2015;µS/cm;10660
Nitrate;25/03/2015;mg/L;243.92
Phosphate;25/03/2015;mg/L;0
Conductivity_20C;13/05/2015;µS/cm;13610
Nitrate;13/05/2015;mg/L;224.38
Phosphate;13/05/2015;mg/L;0
Conductivity_20C;19/05/2015;µS/cm;12900
Nitrate;19/05/2015;mg/L;231
Phosphate;19/05/2015;mg/L;0.07
Conductivity_20C;08/07/2015;µS/cm;16480
Nitrate;08/07/2015;mg/L;224.98
Phosphate;08/07/2015;mg/L;0
Conductivity_20C;22/09/2015;µS/cm;12190
Nitrate;22/09/2015;mg/L;205.58
Phosphate;22/09/2015;mg/L;0
Conductivity_20C;22/10/2015;µS/cm;11380
Nitrate;22/10/2015;mg/L;214.34
Phosphate;22/10/2015;mg/L;0.31
Conductivity_20C;16/11/2015;µS/cm;7410
Nitrate;16/11/2015;mg/L;241.7
Phosphate;16/11/2015;mg/L;0.36
Conductivity_20C;30/11/2015;µS/cm;13840
Nitrate;30/11/2015;mg/L;175
Phosphate;30/11/2015;mg/L;0
Conductivity_20C;15/12/2015;µS/cm;16780
Nitrate;15/12/2015;mg/L;234
Phosphate;15/12/2015;mg/L;0.43
Conductivity_20C;19/01/2016;µS/cm;17800
Nitrate;19/01/2016;mg/L;235
Phosphate;19/01/2016;mg/L;0.79
Conductivity_20C;01/02/2016;µS/cm;8450
Conductivity_20C;02/02/2016;µS/cm;8570
Conductivity_20C;15/03/2016;µS/cm;18410
Nitrate;15/03/2016;mg/L;220
Phosphate;15/03/2016;mg/L;0.07
Conductivity_20C;17/05/2016;µS/cm;18140
Nitrate;17/05/2016;mg/L;241
Phosphate;17/05/2016;mg/L;0.75
Conductivity_20C;15/06/2016;µS/cm;16820
Nitrate;15/06/2016;mg/L;87
Phosphate;15/06/2016;mg/L;0.36
Conductivity_20C;14/07/2016;µS/cm;17510
Nitrate;14/07/2016;mg/L;280
Phosphate;14/07/2016;mg/L;0.54
Conductivity_20C;08/08/2016;µS/cm;14960
Phosphate;08/08/2016;mg/L;0.32
Conductivity_20C;10/04/2017;µS/cm;11430
Nitrate;10/04/2017;mg/L;163
Phosphate;10/04/2017;mg/L;0
Conductivity_20C;25/04/2017;µS/cm;12980
Nitrate;25/04/2017;mg/L;182
Phosphate;25/04/2017;mg/L;0
Conductivity_20C;08/05/2017;µS/cm;12800
Nitrate;08/05/2017;mg/L;191
Phosphate;08/05/2017;mg/L;0.27
Conductivity_20C;08/05/2017;µS/cm;12570
Nitrate;08/05/2017;mg/L;182
Phosphate;08/05/2017;mg/L;0
Conductivity_20C;24/05/2017;µS/cm;12770
Nitrate;24/05/2017;mg/L;182
Phosphate;24/05/2017;mg/L;0
Conductivity_20C;29/05/2017;µS/cm;13900
Nitrate;29/05/2017;mg/L;164
Phosphate;29/05/2017;mg/L;0.1
Conductivity_20C;07/06/2017;µS/cm;14100
Nitrate;07/06/2017;mg/L;183
Phosphate;07/06/2017;mg/L;0
Conductivity_20C;23/06/2017;µS/cm;13480
Conductivity_20C;04/07/2017;µS/cm;13930
Nitrate;04/07/2017;mg/L;114
Phosphate;04/07/2017;mg/L;0.46
Conductivity_20C;12/07/2017;µS/cm;12820
Nitrate;12/07/2017;mg/L;153
Phosphate;12/07/2017;mg/L;0.55
Conductivity_20C;12/07/2017;µS/cm;17370
Nitrate;12/07/2017;mg/L;108
Phosphate;12/07/2017;mg/L;0
Conductivity_20C;20/07/2017;µS/cm;13880
Nitrate;20/07/2017;mg/L;193
Phosphate;20/07/2017;mg/L;0
Conductivity_20C;24/07/2017;µS/cm;14900
Nitrate;24/07/2017;mg/L;137
Phosphate;24/07/2017;mg/L;0.23
Conductivity_20C;02/08/2017;µS/cm;12350
Nitrate;02/08/2017;mg/L;175
Phosphate;02/08/2017;mg/L;0
Conductivity_20C;17/08/2017;µS/cm;12340
Nitrate;17/08/2017;mg/L;171
Phosphate;17/08/2017;mg/L;0
Conductivity_20C;04/09/2017;µS/cm;10220
Nitrate;04/09/2017;mg/L;166
Phosphate;04/09/2017;mg/L;0.58
Conductivity_20C;21/09/2017;µS/cm;10700
Nitrate;21/09/2017;mg/L;166
Phosphate;21/09/2017;mg/L;0
Conductivity_20C;05/10/2017;µS/cm;10150
Nitrate;05/10/2017;mg/L;170
Phosphate;05/10/2017;mg/L;0
Conductivity_20C;17/10/2017;µS/cm;11370
Nitrate;17/10/2017;mg/L;189
Phosphate;17/10/2017;mg/L;0
Conductivity_20C;23/10/2017;µS/cm;10600
Nitrate;23/10/2017;mg/L;150
Phosphate;23/10/2017;mg/L;0.25
Conductivity_20C;26/10/2017;µS/cm;11900
Nitrate;26/10/2017;mg/L;311
Phosphate;26/10/2017;mg/L;0.22
Conductivity_20C;27/10/2017;µS/cm;10380
Nitrate;27/10/2017;mg/L;148
Phosphate;27/10/2017;mg/L;0
Conductivity_20C;06/11/2017;µS/cm;8600
Nitrate;06/11/2017;mg/L;180
Phosphate;06/11/2017;mg/L;0.38
Conductivity_20C;08/11/2017;µS/cm;11580
Nitrate;08/11/2017;mg/L;195
Phosphate;08/11/2017;mg/L;0
Conductivity_20C;23/11/2017;µS/cm;9900
Nitrate;23/11/2017;mg/L;162
Phosphate;23/11/2017;mg/L;0
Nitrate;05/12/2017;mg/L;165
Phosphate;05/12/2017;mg/L;0
Nitrate;18/12/2017;mg/L;166
Phosphate;18/12/2017;mg/L;0
Conductivity_20C;19/12/2017;µS/cm;16600
Nitrate;19/12/2017;mg/L;165
Phosphate;19/12/2017;mg/L;0
Conductivity_20C;03/01/2018;µS/cm;9650
Nitrate;03/01/2018;mg/L;188
Phosphate;03/01/2018;mg/L;0
Nitrate;17/01/2018;mg/L;179
Conductivity_20C;02/02/2018;µS/cm;8090
Nitrate;02/02/2018;mg/L;124
Phosphate;02/02/2018;mg/L;0
Conductivity_20C;16/02/2018;µS/cm;8620
Nitrate;16/02/2018;mg/L;152
Phosphate;16/02/2018;mg/L;0
Conductivity_20C;19/02/2018;µS/cm;8450
Nitrate;19/02/2018;mg/L;167
Phosphate;19/02/2018;mg/L;0
Conductivity_20C;06/03/2018;µS/cm;9650
Nitrate;06/03/2018;mg/L;186
Phosphate;06/03/2018;mg/L;0
Conductivity_20C;16/03/2018;µS/cm;8610
Nitrate;16/03/2018;mg/L;146
Phosphate;16/03/2018;mg/L;0
Conductivity_20C;28/03/2018;µS/cm;10600
Nitrate;28/03/2018;mg/L;190
Phosphate;28/03/2018;mg/L;0
Conductivity_20C;11/04/2018;µS/cm;11100
Nitrate;11/04/2018;mg/L;174
Phosphate;11/04/2018;mg/L;0
Conductivity_20C;16/04/2018;µS/cm;9620
Nitrate;16/04/2018;mg/L;192
Phosphate;16/04/2018;mg/L;0
Nitrate;18/04/2018;mg/L;342
Phosphate;18/04/2018;mg/L;0
Conductivity_20C;26/04/2018;µS/cm;9520
Nitrate;26/04/2018;mg/L;131
Phosphate;26/04/2018;mg/L;0
Nitrate;02/05/2018;mg/L;71.2
Phosphate;02/05/2018;mg/L;0
Conductivity_20C;08/05/2018;µS/cm;8970
Nitrate;08/05/2018;mg/L;112
Phosphate;08/05/2018;mg/L;0
Conductivity_20C;11/05/2018;µS/cm;8720
Nitrate;11/05/2018;mg/L;115
Phosphate;11/05/2018;mg/L;0
Conductivity_20C;28/05/2018;µS/cm;8820
Nitrate;28/05/2018;mg/L;112
Phosphate;28/05/2018;mg/L;0
Conductivity_20C;11/06/2018;µS/cm;8190
Nitrate;11/06/2018;mg/L;98
Phosphate;11/06/2018;mg/L;0
Conductivity_20C;12/06/2018;µS/cm;9260
Nitrate;12/06/2018;mg/L;110
Phosphate;12/06/2018;mg/L;0
Conductivity_20C;25/06/2018;µS/cm;13030
Nitrate;25/06/2018;mg/L;218
Phosphate;25/06/2018;mg/L;1.32
Conductivity_20C;09/07/2018;µS/cm;9020
Nitrate;09/07/2018;mg/L;94.8
Phosphate;09/07/2018;mg/L;0
Conductivity_20C;17/07/2018;µS/cm;9270
Nitrate;17/07/2018;mg/L;88
Phosphate;17/07/2018;mg/L;0
Conductivity_20C;23/07/2018;µS/cm;8860
Nitrate;23/07/2018;mg/L;92
Phosphate;23/07/2018;mg/L;0
Conductivity_20C;06/08/2018;µS/cm;8860
Nitrate;06/08/2018;mg/L;97.2
Phosphate;06/08/2018;mg/L;0
Conductivity_20C;16/08/2018;µS/cm;10680
Nitrate;16/08/2018;mg/L;157
Phosphate;16/08/2018;mg/L;0.08
Conductivity_20C;20/08/2018;µS/cm;9470
Nitrate;20/08/2018;mg/L;154
Phosphate;20/08/2018;mg/L;0
Conductivity_20C;03/09/2018;µS/cm;8760
Nitrate;03/09/2018;mg/L;114
Phosphate;03/09/2018;mg/L;0
Conductivity_20C;12/09/2018;µS/cm;6330
Nitrate;12/09/2018;mg/L;86
Phosphate;12/09/2018;mg/L;0.21
Conductivity_20C;17/09/2018;µS/cm;6330
Nitrate;17/09/2018;mg/L;90
Phosphate;17/09/2018;mg/L;1.13
Conductivity_20C;01/10/2018;µS/cm;7790
Nitrate;01/10/2018;mg/L;120
Phosphate;01/10/2018;mg/L;0
Conductivity_20C;15/10/2018;µS/cm;3710
Nitrate;15/10/2018;mg/L;47.2
Phosphate;15/10/2018;mg/L;1.17
Conductivity_20C;29/10/2018;µS/cm;8020
Nitrate;29/10/2018;mg/L;152
Phosphate;29/10/2018;mg/L;0
Conductivity_20C;29/10/2018;µS/cm;10332
Nitrate;29/10/2018;mg/L;170
Phosphate;29/10/2018;mg/L;0.09
Conductivity_20C;08/11/2018;µS/cm;9720
Nitrate;08/11/2018;mg/L;164
Phosphate;08/11/2018;mg/L;0.18
Conductivity_20C;12/11/2018;µS/cm;8260
Nitrate;12/11/2018;mg/L;187
Phosphate;12/11/2018;mg/L;0
Conductivity_20C;26/11/2018;µS/cm;6640
Nitrate;26/11/2018;mg/L;127
Phosphate;26/11/2018;mg/L;0.86
Conductivity_20C;12/12/2018;µS/cm;7800
Nitrate;12/12/2018;mg/L;133
Phosphate;12/12/2018;mg/L;0
Conductivity_20C;21/12/2018;µS/cm;8030
Nitrate;21/12/2018;mg/L;93
Phosphate;21/12/2018;mg/L;0.04
Conductivity_20C;26/12/2018;µS/cm;7940
Nitrate;26/12/2018;mg/L;149
Phosphate;26/12/2018;mg/L;0
Conductivity_20C;09/01/2019;µS/cm;7790
Nitrate;09/01/2019;mg/L;147
Phosphate;09/01/2019;mg/L;0
Conductivity_20C;17/01/2019;µS/cm;9020
Nitrate;17/01/2019;mg/L;136
Phosphate;17/01/2019;mg/L;0.05
Conductivity_20C;21/01/2019;µS/cm;7480
Nitrate;21/01/2019;mg/L;137
Phosphate;21/01/2019;mg/L;0
Conductivity_20C;24/01/2019;µS/cm;6190
Nitrate;24/01/2019;mg/L;162
Conductivity_20C;29/01/2019;µS/cm;6500
Nitrate;29/01/2019;mg/L;146
Conductivity_20C;05/02/2019;µS/cm;9530
Nitrate;05/02/2019;mg/L;158
Conductivity_20C;18/02/2019;µS/cm;8580
Nitrate;18/02/2019;mg/L;116
Conductivity_20C;18/02/2019;µS/cm;9330
Nitrate;18/02/2019;mg/L;193
Phosphate;18/02/2019;mg/L;0.06
Conductivity_20C;04/03/2019;µS/cm;8310
Phosphate;04/03/2019;mg/L;0
Conductivity_20C;18/03/2019;µS/cm;8916
Nitrate;18/03/2019;mg/L;174
Phosphate;18/03/2019;mg/L;0
Conductivity_20C;20/03/2019;µS/cm;8340
Nitrate;20/03/2019;mg/L;146
Phosphate;20/03/2019;mg/L;0
Conductivity_20C;01/04/2019;µS/cm;5220
Nitrate;01/04/2019;mg/L;83
Phosphate;01/04/2019;mg/L;0
Conductivity_20C;09/04/2019;µS/cm;6378
Nitrate;09/04/2019;mg/L;58
Phosphate;09/04/2019;mg/L;0.04
Conductivity_20C;15/04/2019;µS/cm;7340
Nitrate;15/04/2019;mg/L;128
Phosphate;15/04/2019;mg/L;0
Conductivity_20C;29/04/2019;µS/cm;7180
Nitrate;29/04/2019;mg/L;161
Phosphate;29/04/2019;mg/L;0
Nitrate;03/05/2019;mg/L;171
Phosphate;03/05/2019;mg/L;0
Conductivity_20C;13/05/2019;µS/cm;7000
Nitrate;13/05/2019;mg/L;148
Phosphate;13/05/2019;mg/L;0
Conductivity_20C;21/05/2019;µS/cm;7920
Nitrate;21/05/2019;mg/L;162
Phosphate;21/05/2019;mg/L;0
Conductivity_20C;27/05/2019;µS/cm;7440
Nitrate;27/05/2019;mg/L;160
Phosphate;27/05/2019;mg/L;0
Conductivity_20C;12/06/2019;µS/cm;7550
Nitrate;12/06/2019;mg/L;143.2
Phosphate;12/06/2019;mg/L;0
Conductivity_20C;13/06/2019;µS/cm;8460
Nitrate;13/06/2019;mg/L;121
Phosphate;13/06/2019;mg/L;0
Conductivity_20C;24/06/2019;µS/cm;7340
Nitrate;24/06/2019;mg/L;125
Phosphate;24/06/2019;mg/L;0
Conductivity_20C;08/07/2019;µS/cm;7290
Nitrate;08/07/2019;mg/L;135
Phosphate;08/07/2019;mg/L;0
Conductivity_20C;11/07/2019;µS/cm;7928
Nitrate;11/07/2019;mg/L;128
Phosphate;11/07/2019;mg/L;0
Conductivity_20C;22/07/2019;µS/cm;7260
Nitrate;22/07/2019;mg/L;140
Phosphate;22/07/2019;mg/L;0
Conductivity_20C;05/08/2019;µS/cm;7270
Nitrate;05/08/2019;mg/L;132
Phosphate;05/08/2019;mg/L;0
Conductivity_20C;08/08/2019;µS/cm;7946
Nitrate;08/08/2019;mg/L;108
Phosphate;08/08/2019;mg/L;0.1
